propid,zip,appraisal_2017,appraisal_2016,appraisal_2015,appraisal_2014,appraisal_2013
1.66022E+13,78702,473405,276086,345169,291544,209168
4.4421E+12,78702,865137,917886,643887,556703,110000
5.08047E+12,78702,1047246,1241888,1010125,832768,427969
1.44175E+13,78702,2061465,1549421,1073359,889790,1005585
2.92988E+12,78702,715305,583486,387576,388557,389373
1.67448E+13,78702,517326,423112,276247,238132,265025
3.00034E+12,78702,1255673,1229155,480484,149193,110000
3.37088E+12,78702,170000,170000,170000,140250,110000
3.37132E+12,78702,843101,815108,582872,537661,363920
1.66787E+13,78702,364903,321491,312471,266942,163103
4.75962E+12,78702,336769,268244,255728,227354,162975
1.66022E+13,78702,702175,383757,273726,210351,218054
1.66787E+13,78702,654480,790562,683273,603030,463386
2.77728E+12,78702,334265,305831,292769,251525,92118
1.66787E+13,78702,261104,244127,237001,200978,83090
1.66787E+13,78702,336832,280745,270096,230975,111562
1.66787E+13,78702,487057,489671,385432,343528,245135
1.66787E+13,78702,620357,721529,534237,490896,387954
1.46134E+13,78702,364690,291203,279550,239544,189706
1.1592E+12,78702,933391,431292,282067,224199,237493
1.46218E+13,78702,588304,360357,252195,196756,196130
2.77728E+12,78702,752654,613179,558660,621618,505077
2.77728E+12,78702,752654,832978,672338,621618,452043
3.56478E+12,78702,252453,252453,129800,126353,124111
4.14996E+12,78702,307363,269477,259913,221746,103687
2.77728E+12,78702,755915,837436,674783,623971,454160
1.50592E+13,78702,1057932,615180,616835,616835,588550
3.56681E+12,78702,241332,269883,128750,227503,98525
1.66787E+13,78702,268369,248294,203750,225640,117890
4.46149E+12,78702,639524,669353,500062,450507,374715
1.66787E+13,78702,329081,298826,286440,218191,103351
1.66787E+13,78702,344897,353489,338730,290742,172382
3.4599E+12,78702,787833,689289,602786,602450,429572
3.59253E+12,78702,342870,291716,284908,241959,158860
2.04685E+13,78702,282685,236129,231218,195737,111102
3.45872E+12,78702,321724,288884,288739,254591,159182
3.3735E+12,78702,882825,1009643,707552,657845,490546
3.42497E+12,78702,391292,343631,315843,249243,194384
3.42497E+12,78702,307179,299762,257016,223144,135232
1.66022E+13,78702,474110,442301,344513,310408,234786
1.66022E+13,78702,394609,331634,316097,272670,191164
2.98653E+12,78702,425314,446137,170000,140250,82500
2.77728E+12,78702,320019,260837,256320,216048,130772
4.77269E+12,78702,679432,511065,350375,263955,281145
1.66022E+13,78702,358896,283373,272472,233129,182676
1.09841E+12,78702,756938,540071,368753,283951,298367
1.66022E+13,78702,328449,242228,235283,199421,135378
1.52337E+13,78702,413982,369839,334376,304332,179947
1.66787E+13,78702,413237,357017,342845,297293,174698
1.66326E+13,78702,395568,365741,306748,270081,191258
1.66326E+13,78702,351774,292613,280826,240701,145267
1.66326E+13,78702,407590,379175,361948,311787,227897
2.86381E+11,78702,348531,299366,289812,246404,149422
3.40841E+12,78702,600134,600134,374950,369587,346532
2.98009E+12,78702,247063,247063,114950,122892,121694
2.06E+13,78702,230432,185356,129892,92422,78320
5.29628E+12,78702,339020,256514,248196,211126,152520
1.66022E+13,78702,475979,441539,368031,329196,247697
1.66326E+13,78702,529554,416186,437721,386787,308154
1.66326E+13,78702,294562,252179,246077,209204,98999
1.66326E+13,78702,350562,302111,294531,250681,163789
1.46108E+13,78702,354931,308015,280478,255634,164520
2.86381E+11,78702,686200,670319,566973,562756,429922
1.66326E+13,78702,402582,404729,385041,280443,169238
2.86381E+11,78702,315627,317753,303043,261185,116677
3.42493E+12,78702,796991,913409,656903,609932,431314
5.0805E+12,78702,347499,267971,254967,217262,149022
3.54803E+12,78702,436203,390314,311102,277653,209485
1.66022E+13,78702,390109,313538,285213,238514,192177
1.66022E+13,78702,359915,284750,273644,234192,174963
1.66326E+13,78702,566959,603821,458695,414239,296721
3.40346E+12,78702,345217,270361,205084,170911,178757
2.77728E+12,78702,676133,722019,576855,510488,424576
1.66022E+13,78702,375842,304103,316502,261397,199489
2.49037E+12,78702,418121,362077,326257,288400,199286
3.56677E+12,78702,690173,728175,459988,140250,82500
2.86381E+11,78702,399442,338165,322000,278021,200713
1.66022E+13,78702,334524,270600,259295,222569,164741
1.66787E+13,78702,233750,170000,170001,140250,82500
2.86381E+11,78702,374947,305063,292075,250897,166452
3.40898E+12,78702,326879,327933,317217,294685,210267
3.56213E+12,78702,406726,348377,324738,281416,235941
1.66787E+13,78702,341538,289916,283239,240447,169377
2.86381E+11,78702,391244,327086,311982,268940,219579
3.42322E+12,78702,393173,399776,336644,302900,218467
3.41123E+12,78702,306122,267800,260541,222315,114886
1.46108E+13,78702,452547,466754,386434,343084,224788
2.86381E+11,78702,357171,281042,270366,231220,164914
4.14939E+12,78702,375562,319025,304697,262337,186166
1.66022E+13,78702,739200,690244,595118,586703,389251
2.86381E+11,78702,405469,346310,329358,284690,202344
2.77728E+12,78702,423147,374267,376274,342524,211587
1.66326E+13,78702,592484,200000,373439,322202,177275
1.66022E+13,78702,308647,249797,245937,224291,157126
1.66326E+13,78702,329061,273056,267633,226301,137028
1.44176E+13,78702,478121,444434,417545,364967,234839
2.77728E+12,78702,414382,364645,327646,287997,196772
3.57347E+12,78702,409397,381617,364155,312172,229605
3.38025E+12,78702,649729,487297,253302,230275,216328
2.49037E+12,78702,611348,200000,200000,208593,160475
2.8638E+11,78702,380332,342341,331774,284438,182665
2.00885E+11,78702,285765,304286,216979,147267,148460
1.66788E+13,78702,455546,481523,449925,391528,322149
3.55677E+12,78702,316050,281216,270521,231361,120709
5.24809E+12,78702,597186,644519,558138,235327,165621
3.43011E+12,78702,628555,942362,653405,504953,430463
3.37146E+12,78702,441115,522144,409438,367070,251356
5.06834E+12,78702,442417,396239,374488,325594,223823
5.26069E+11,78702,390907,423872,334570,298826,187562
1.66022E+13,78702,376339,306944,293775,252437,186530
2.8638E+11,78702,572175,588766,459049,411841,280362
1.66326E+13,78702,398783,367274,351192,302038,223199
1.53693E+13,78702,370216,328670,316299,270412,206146
1.53693E+13,78702,411477,393179,373700,280825,232877
1.53693E+13,78702,416637,385000,360068,310083,223674
82750848453,78702,342489,346794,318556,291501,220390
8.19803E+11,78702,485428,465609,385315,351316,237934
3.3735E+12,78702,396578,359576,338298,292792,215511
1.71741E+11,78702,451079,481160,428084,374173,263258
65816148453,78702,405556,376427,359464,309535,200644
1.66326E+13,78702,4250750,3129311,2106224,1331025,816321
4.17427E+12,78702,503263,491302,465215,403759,316777
1.66787E+13,78702,337211,284069,277827,235541,144213
1.66787E+13,78702,828866,620490,419069,318358,213400
1.66787E+13,78702,332054,247100,241374,204942,115781
1.46108E+13,78702,398878,367403,351312,302146,194249
1.66787E+13,78702,437892,393394,344968,304689,212385
3.46039E+12,78702,456536,460940,406163,389681,246425
4.76878E+12,78702,412511,346623,337959,292485,203419
1.66022E+13,78702,387259,321701,307113,264527,155033
3.45991E+12,78702,804344,200001,200000,165000,110000
1.66326E+13,78702,302408,281954,273640,234187,124022
3.55426E+12,78702,623498,649607,478246,437065,315854
3.54806E+12,78702,275000,253265,255430,237596,150482
3.59253E+12,78702,388808,353795,339005,286892,174122
1.66787E+13,78702,585446,439085,292723,146362,146362
1.66787E+13,78702,658356,492327,335035,177842,177829
1.66787E+13,78702,395525,247203,197762,98881,98881
1.66787E+13,78702,325383,266478,219655,119465,109850
4.75968E+12,78702,355980,299595,285500,246321,173852
2.77728E+12,78702,766531,759200,558544,514160,313919
1.46108E+13,78702,383989,347282,336349,288585,186940
1.46108E+13,78702,522989,402125,170001,180654,124580
2.77728E+12,78702,388899,325154,310236,267358,187780
1.15907E+12,78702,419959,395891,377056,325481,212198
4.77309E+12,78702,409065,415459,399549,341799,241907
1.53361E+13,78702,343750,250000,250000,206250,151250
1.66787E+13,78702,415707,361109,353870,300396,253307
1.66787E+13,78702,411187,341131,282279,294481,252309
4.19343E+12,78702,306921,260987,251244,196617,153885
1.66022E+13,78702,459589,435835,337244,302556,237455
5.26069E+11,78702,354767,307793,297426,253306,162286
2.77728E+12,78702,378126,250000,250000,206250,178750
8.2142E+11,78702,537568,480897,389310,328816,244619
1.66326E+13,78702,443469,427661,405773,351509,240359
1.66787E+13,78702,413728,387470,369444,318582,220320
3.39714E+12,78702,383385,240886,205745,173949,117526
1.66326E+13,78702,370320,328811,318299,272224,198435
2.77728E+12,78702,674145,670148,490131,448424,433181
1.66787E+13,78702,978246,305657,312861,267295,169811
5.06822E+12,78702,389665,368457,347270,315022,181373
1.65154E+13,78702,650575,713240,532274,484977,326484
1.66787E+13,78702,343949,318917,304599,262248,137972
1.66788E+13,78702,358352,312638,304274,259512,165349
1.66788E+13,78702,418325,393683,375063,323674,212156
3.39127E+12,78702,340510,288527,274414,240278,172704
1.66787E+13,78702,159438,140182,106999,108037,116478
3.55365E+12,78702,346309,296363,287098,243944,159370
1.65154E+13,78702,410840,383567,365924,315391,205415
3.38877E+12,78702,497661,474234,420261,365159,254153
1.15907E+12,78702,402921,399458,377077,303000,202601
1.5275E+13,78702,751400,743157,725364,668100,563763
1.65154E+13,78702,330000,330000,330000,309861,214279
1.66326E+13,78702,393984,343627,331740,282779,228832
82750448453,78702,581910,525981,278800,351167,243349
1.66326E+13,78702,333295,248777,242930,206352,150639
1.66022E+13,78702,445354,347735,330651,285861,202606
1.66326E+13,78702,349847,271145,261422,223113,158427
1.67571E+13,78702,34375,212500,212500,175313,151250
1.66326E+13,78702,493892,415946,363278,315434,150405
1.66326E+13,78702,390595,326210,311195,268227,192980
1.66022E+13,78702,1076030,839577,510292,492063,430731
1.53693E+13,78702,433139,413702,393154,340071,261959
1.66326E+13,78702,487025,413516,392987,339920,216510
1.66022E+13,78702,436383,388085,299976,258058,169496
1.66326E+13,78702,283127,236726,231772,196239,91931
1.66787E+13,78702,404079,374432,359201,309297,220973
1.50233E+13,78702,278641,286168,278342,256895,134716
1.66326E+13,78702,405201,375947,359034,309146,206053
1.53693E+13,78702,397522,365570,349650,300641,241982
4.77384E+12,78702,262566,240915,206959,156163,138634
1.46908E+13,78702,562180,538586,407420,402664,332201
5.06011E+12,78702,360674,285776,277181,237397,172069
3.37131E+12,78702,275000,379403,375627,324185,208768
1.53239E+13,78702,444732,367973,351822,302609,162000
3.41466E+12,78702,830357,558620,418365,342496,174671
1.66787E+13,78702,389235,354371,414895,375634,265052
1.46908E+13,78702,390633,335729,309097,236817,175607
3.56449E+12,78702,485412,484340,455990,398908,309634
3.42192E+12,78702,306833,323865,294501,261832,224584
1.66326E+13,78702,450666,413633,328259,292896,222776
1.66326E+13,78702,366389,293498,281623,242345,171401
3.37559E+12,78702,543600,461625,407465,385328,254340
1.66788E+13,78702,339824,287600,281096,238504,152593
1.66788E+13,78702,360850,316013,304857,260041,167808
1.44174E+13,78702,419492,362351,334657,287051,165215
1.66787E+13,78702,491375,495719,389394,349434,237050
1.65154E+13,78702,454833,407431,422261,366453,286219
3.37303E+12,78702,364388,324592,319993,246995,227524
3.41327E+12,78702,341443,344509,320000,266603,194887
1.66326E+13,78702,258689,255188,248864,211731,96847
1.66787E+13,78702,429506,391630,375131,322108,262308
1.66326E+13,78702,541638,496751,463280,437819,276629
5.24809E+12,78702,389221,357170,336164,297945,180756
2.77728E+12,78702,415000,341402,322163,278168,162140
4.16721E+12,78702,444821,429488,367702,324758,226679
1.66326E+13,78702,686201,720000,435025,395295,82500
1.66326E+13,78702,403507,314390,253496,215929,155544
1.66787E+13,78702,366486,323630,311745,266284,172520
3.40902E+12,78702,527061,478457,458274,394189,301222
1.66787E+13,78702,804779,805519,289101,254264,154827
1.47726E+13,78702,421855,365006,346492,291526,168900
1.66326E+13,78702,366821,324083,312154,266654,191707
3.42301E+12,78702,395715,418715,346669,304721,207303
4.4572E+12,78702,310797,274118,264110,225550,127467
3.56294E+12,78702,318430,274058,265095,244914,173582
